60927	49411	dbp152
52651	28093	dbp64
60661	28093	dbp64
42753	24761	dbp178
42762	24761	dbp178
55816	24761	dbp226
57438	24761	dbp226
57437	24761	dbp226
61934	24761	dbp226
57436	24761	dbp226
57439	24761	dbp226
61761	24761	dbp226
62385	24761	dbp226
61441	24761	dbp226
7642	901	dbp92
7644	901	dbp92
7643	901	dbp92
7646	901	dbp92
7645	901	dbp92
55794	20925	dbp126
52809	20925	dbp126
34247	20925	dbp180
42642	20925	dbp180
40399	20925	dbp180
40402	20925	dbp180
40401	20925	dbp180
40403	20925	dbp180
40400	20925	dbp180
40404	20925	dbp180

